first_name,last_name,phone,city,street,house_number,registered_branch,support_score
רחל,לוי,0501234567,פתח תקווה,הרצל,12,פתח תקווה,0.62
אברהם,כהן,0502345678,פתח תקווה,ז׳בוטינסקי,45,פתח תקווה,0.78
מיכל,שמש,0503456789,בת ים,בן גוריון,8,פתח תקווה,0.55
יוסף,אברהם,0504567890,פתח תקווה,חיים עוזר,23,פתח תקווה,0.31
שרה,גולדברג,0505678901,רמת השרון,הנדיב,67,פתח תקווה,0.68
דניאל,לוי,0506789012,פתח תקווה,הרצל,12,פתח תקווה,0.62
רותי,מזרחי,0507890123,פתח תקווה,אחד העם,34,פתח תקווה,0.45
בוריס,פטרוב,0508901234,פתח תקווה,ויצמן,56,פתח תקווה,0.52
אסתר,אדנה,0509012345,פתח תקווה,ביאליק,78,פתח תקווה,0.71
אלון,בן-דוד,0500123456,פתח תקווה,העצמאות,90,פתח תקווה,0.83
